"Title","Year","Rating","Votes"
"21. Istanbul Için Son Çagri",2023,5.3,9
"15. Baskin",2015,5.8,13
"14. Club Zero",2023,5.9,2
"18. Harem Suare",1999,6.1,3
"7. Taken 2",2012,6.2,328
